space,date,demand,maxDemand,minDemand
site A,1,410.832625821385,851.6243055556,37.1982638889
site A,2,328.828778108466,774.4274305556,36.9375
site A,3,251.10652566209,679.5208333333,37.3145833333
site A,4,199.853086419751,594.8881944444,37.7670138889
site A,5,104.189415322581,442.4413194444,36.5538194444
site A,6,64.549748981085,297.3670138889,30.4460813493
site A,7,57.6102710573479,113.7572916667,35.3125
site A,8,55.5547789725188,108.6555555556,21.8612373738
site A,9,88.4444598765417,496.153125,35.9375
site A,10,196.880213933687,563.0815972222,37.8125
site A,11,283.48105015432,727.453125,38.9284722222
site A,12,422.17780864197,968.3878472222,37.625
site B,1,889.327319875606,1341.4638591103,637.2027083333
site B,2,841.464938942525,1144.0824825442,648.8557314815
site B,3,742.870664819789,1163.2439216256,354.5333333333
site B,4,600.18808966143,939.3447222222,425.0447222222
site B,5,558.566407361437,844.5466805556,399.9320763889
site B,6,530.242373729321,816.0257916667,406.0687986111
site B,7,568.577631151401,887.5630138889,397.2134166667
site B,8,539.228794448731,875.4900788359,393.0787847222
site B,9,534.718195202009,999.8284930556,394.6033680556
site B,10,803.58042592813,1090.7977476852,418.0577531426
site B,11,976.080955175671,1357.8777013889,637.2258611111
site B,12,1041.05846839481,1458.8465879627,701.1177361111
site C,1,5.28646628050806,14.1980358016,1.2965376984
site C,2,5.41703815901726,13.8246135753,1.5138888889
site C,3,5.39328595704462,16.2018427096,1.3625
site C,4,5.75982562404944,14.8268162031,1.8659827441
site C,5,6.28115208948172,13.3494815604,2.2329861111
site C,6,6.65783662223389,15.1153236373,2.2612382629
site C,7,7.10382070184516,16.326239206,2.416509434
site C,8,7.92610763376237,19.2895496729,2.5357638889
site C,9,9.08645128779333,19.9992026072,3.5197916667
site C,10,6.88155114088979,14.8142561955,2.5731814729
site C,11,6.82596646257,17.8719777127,1.9964409722
site C,12,6.37924872371667,17.0995964142,1.4760416667
site D,1,50.5282390047129,119.8175825109,0.8326388889
site D,2,51.6262817159685,122.0718482906,4.0971338384
site D,3,58.5843390695339,122.438979666,3.4819444444
site D,4,62.34826783418,123.4937393162,4.3337893864
site D,5,60.9098427632715,119.7410351356,0.939501634
site D,6,58.16818966278,119.1936957889,4.1760240113
site D,7,45.8899688162339,92.7525537635,3.9519825269
site D,8,51.5257577284973,113.8323260985,0.3027777778
site D,9,53.0219892097756,119.6519333324,3.9460382514
site D,10,56.2588412096554,120.6247042181,4.2502132546
site D,11,49.3925738066044,121.5492900879,0.9840277778
site D,12,44.2569816557128,118.730651341,4.0875
